ID,Title,Current State,Current Assigned To,First Jason-in-UAT Assign Date (IST),Last Jason-in-UAT Assign Date (IST),Jason-in-UAT Event Count,Severity,Priority,DeployedTo,Tags,URL
102857,Live X - UI/UX Issue,UAT Complete,Jason Blankenship,05/28/2026,06/01/2026,1,4 - Low,2,UAT,Adhoc; FracPro+,https://dev.azure.com/Stratagen/FracPro-OPS/_workitems/edit/102857
101486,Real-Time Plot UI Does Not Refresh Despite GetDataChart Receiving New Data,PRE-PROD,Jason Blankenship,05/29/2026,06/01/2026,1,4 - Low,2,UAT,FracPro+; MQTT,https://dev.azure.com/Stratagen/FracPro-OPS/_workitems/edit/101486
101465,Surf PRC Plot Data Gets Cut Off in DateTime Mode,PRE-PROD,Jason Blankenship,05/29/2026,06/01/2026,1,4 - Low,2,UAT,FracPro+; MQTT,https://dev.azure.com/Stratagen/FracPro-OPS/_workitems/edit/101465
104803,FracPro- Live+ real-time plot does not auto-refresh despite receiving MQTT data via GetDataChart API,PRE-PROD,Jason Blankenship,06/03/2026,06/17/2026,1,4 - Low,2,UAT,FracPro +; MQTT,https://dev.azure.com/Stratagen/FracPro-OPS/_workitems/edit/104803
107150,Grid and Dashboard Content Cut Off – 10th Row Not Fully Visible Across Different Screen Resolutions,PRE-PROD,Jason Blankenship,06/16/2026,06/17/2026,1,4 - Low,2,UAT,FracPro+; MQTT,https://dev.azure.com/Stratagen/FracPro-OPS/_workitems/edit/107150
107709,Multiple Calls Generated for Treatment API on Dashboard and Treatment Schedule Screens,PRE-PROD,Jason Blankenship,06/16/2026,06/17/2026,1,4 - Low,2,UAT,FracPro+; MQTT,https://dev.azure.com/Stratagen/FracPro-OPS/_workitems/edit/107709
105044,Plot: Latest Data Cant add/remove channels,PRE-PROD,Jason Blankenship,06/16/2026,06/17/2026,1,4 - Low,2,UAT,FracPro+; MQTT,https://dev.azure.com/Stratagen/FracPro-OPS/_workitems/edit/105044
96086,FracPro Live+ - Fix console error on action button click,UAT Complete,Jason Blankenship,06/16/2026,06/17/2026,1,4 - Low,4,UAT,Adhoc; FracPro+,https://dev.azure.com/Stratagen/FracPro-OPS/_workitems/edit/96086
105866,Plot Screen - Marker Can Be Dragged Using Keyboard Without Proper Grab/Selection After Zoom or Key Release,PRE-PROD,Jason Blankenship,06/16/2026,06/16/2026,1,4 - Low,2,UAT,MQTT,https://dev.azure.com/Stratagen/FracPro-OPS/_workitems/edit/105866
105868,Channel Settings - Dropdown List Overlaps and Appears Behind Lower Sections When Adding/Editing a Channel,PRE-PROD,Jason Blankenship,06/17/2026,06/17/2026,1,4 - Low,2,UAT,MQTT,https://dev.azure.com/Stratagen/FracPro-OPS/_workitems/edit/105868
107708,GetDataChart API Calls Increase on Every Dashboard Navigation Causing Duplicate Requests,PRE-PROD,Jason Blankenship,06/17/2026,06/17/2026,1,4 - Low,2,UAT,FracPro+; MQTT,https://dev.azure.com/Stratagen/FracPro-OPS/_workitems/edit/107708
105475,"autoScaleYAxis is Set to False for Live+ ""Measured Data""  Templates",PRE-PROD,Jason Blankenship,06/17/2026,06/17/2026,1,4 - Low,2,UAT,FracPro+; MQTT,https://dev.azure.com/Stratagen/FracPro-OPS/_workitems/edit/105475
105472,Plot Channel Color Does Not Use Default Color Configured in Settings,PRE-PROD,Jason Blankenship,06/17/2026,06/17/2026,1,4 - Low,2,UAT,FracPro+; MQTT; Plots,https://dev.azure.com/Stratagen/FracPro-OPS/_workitems/edit/105472
109437,MinifracParam GET API - Remove Epoch Timestamp & treatment id from API Endpoint URL,UAT Complete,Jason Blankenship,06/26/2026,07/20/2026,1,4 - Low,2,UAT,Minifrac,https://dev.azure.com/Stratagen/FracPro-OPS/_workitems/edit/109437
109994,Step Length Bar Disappears After Editing Step Length in Measured Data and Subsequently in Surf PRC Plot,UAT Complete,Jason Blankenship,06/30/2026,06/30/2026,1,4 - Low,2,UAT,Adhoc,https://dev.azure.com/Stratagen/FracPro-OPS/_workitems/edit/109994
112671,Horizontal scrollbar in Fluid List disappears when scrolled back to the left( Material Selection > Add new Fluid List),UAT Complete,Jason Blankenship,07/16/2026,07/22/2026,1,3 - Medium,2,UAT,material selection,https://dev.azure.com/Stratagen/FracPro-OPS/_workitems/edit/112671
112162,Plot Slope Cannot Rotate,UAT Complete,Jason Blankenship,07/22/2026,07/23/2026,1,4 - Low,2,UAT,Minifrac,https://dev.azure.com/Stratagen/FracPro-OPS/_workitems/edit/112162
114398,Incorrect X-axis values sent in command when adding pressure on SQRT and Log-Log plots,UAT Complete,Jason Blankenship,07/27/2026,07/27/2026,1,2 - High,2,UAT,Minifrac,https://dev.azure.com/Stratagen/FracPro-OPS/_workitems/edit/114398
